id,formula,elements,family,family_reason,metal_sub_family,metal_supplier,alloy_validation,batch_size_g,max_workshop_g,scale_limit_reason,ingredients,firing_schedule,estimated_cost_eur,confidence,confidence_reason,warnings,safety_flags,db_temp_c,crystal_system,space_group,bandgap_ev
Ga3Ru4Si1Tb3Tm1,Ga3Ru4Si1Tb3Tm1,"{""Ga"": 3, ""Ru"": 4, ""Si"": 1, ""Tb"": 3, ""Tm"": 1}",metal_pm_only,"metallic composition, PM approach",,,UNKNOWN,200,500,die press size; larger compacts crack,"[{""element"": ""Ga"", ""precursor"": ""Ga"", ""name"": ""gallium metal"", ""mass_g"": 32.6, ""safety"": ""DANGEROUS"", ""supplier"": ""EXPENSIVE, China controlled""}, {""element"": ""Si"", ""precursor"": ""Si"", ""name"": ""silicon granules"", ""mass_g"": 4.4, ""safety"": ""SAFE"", ""supplier"": ""metal supplier""}, {""element"": ""Tb"", ""precursor"": ""Tb"", ""name"": ""terbium metal"", ""mass_g"": 74.3, ""safety"": ""DANGEROUS"", ""supplier"": ""EXTREME COST""}, {""element"": ""Tm"", ""precursor"": ""Tm"", ""name"": ""thulium metal"", ""mass_g"": 26.3, ""safety"": ""DANGEROUS"", ""supplier"": ""expensive""}]","{""binder_burnout_c"": 600, ""binder_burnout_h"": 1, ""sinter_c"": 1100, ""sinter_range_c"": [1050, 1200], ""sinter_h"": 1, ""atmosphere"": ""reducing (graphite in saggar)"", ""why"": ""powder metallurgy with Fe3P liquid-phase aid""}",6.75,LOW,"3 rare elements, speculative composition",no precursor data for element Ru,"Ga: DANGEROUS — EXPENSIVE, China controlled; Tb: DANGEROUS — EXTREME COST; Tm: DANGEROUS — expensive",1000,monoclinic,Pm,
Bi6O14Tb2,Bi6O14Tb2,"{""Bi"": 6, ""O"": 14, ""Tb"": 2}",rare_earth_oxide,rare-earth-containing oxide ceramic,,,,100,300,rare-earth cost; keep batches small,"[{""element"": ""Bi"", ""precursor"": ""Bi2O3"", ""name"": ""bismuth(III) oxide (yellow)"", ""mass_g"": 77.8, ""safety"": ""MODERATE"", ""supplier"": ""Sigma-Aldrich; heavy metal dust, N95 required""}, {""element"": ""Tb"", ""precursor"": ""Tb4O7"", ""name"": ""terbium oxide"", ""mass_g"": 20.8, ""safety"": ""DANGEROUS"", ""supplier"": ""COST EXTREME ~$4000/kg, China export controlled 2025; consider substitution""}]","{""calcine_c"": 900, ""calcine_h"": 2, ""sinter_c"": 1200, ""sinter_range_c"": [1100, 1300], ""sinter_h"": 4, ""ramp"": ""3°C/min""}",87.09,MEDIUM,"3 elements, 1 rare; template applicable",[],"Bi2O3: MODERATE — Sigma-Aldrich; heavy metal dust, N95 required; Tb4O7: DANGEROUS — COST EXTREME ~$4000/kg, China export controlled 2025; consider substitution",800,triclinic,P-1,1.1757
Ba6Nb7O21,Ba6Nb7O21,"{""Ba"": 6, ""Nb"": 7, ""O"": 21}",unknown,no matching family,,,,200,500,conservative default for unknown family,"[{""element"": ""Ba"", ""precursor"": ""BaCO3"", ""name"": ""barium carbonate"", ""mass_g"": 130.8, ""safety"": ""DANGEROUS"", ""supplier"": ""laborladen €4.90/500g; TOXIC, N95 required""}, {""element"": ""Nb"", ""precursor"": ""Nb2O5"", ""name"": ""niobium pentoxide"", ""mass_g"": 102.8, ""safety"": ""MODERATE"", ""supplier"": ""Sigma-Aldrich""}]","{""peak_c"": null, ""why"": ""no template""}",21.87,LOW,no family matched,[],"BaCO3: DANGEROUS — laborladen €4.90/500g; TOXIC, N95 required; Nb2O5: MODERATE — Sigma-Aldrich",1200,trigonal,R-3,0.0027
Si2Te26W4,Si2Te26W4,"{""Si"": 2, ""Te"": 26, ""W"": 4}",metal_pm_only,"metallic composition, PM approach",,,UNKNOWN,200,500,die press size; larger compacts crack,"[{""element"": ""Si"", ""precursor"": ""Si"", ""name"": ""silicon granules"", ""mass_g"": 2.7, ""safety"": ""SAFE"", ""supplier"": ""metal supplier""}, {""element"": ""W"", ""precursor"": ""W"", ""name"": ""tungsten powder"", ""mass_g"": 35.8, ""safety"": ""SAFE"", ""supplier"": ""heavy, use small amounts""}]","{""binder_burnout_c"": 600, ""binder_burnout_h"": 1, ""sinter_c"": 1100, ""sinter_range_c"": [1050, 1200], ""sinter_h"": 1, ""atmosphere"": ""reducing (graphite in saggar)"", ""why"": ""powder metallurgy with Fe3P liquid-phase aid""}",1.84,MEDIUM,standard template applied,no precursor data for element Te,[],800,monoclinic,P2_1,
Bi4Ca10Pb2,Bi4Ca10Pb2,"{""Bi"": 4, ""Ca"": 10, ""Pb"": 2}",metal_meltable,low-melting Sn/Bi/Pb alloy,low_melt_fusible,RotoMetals fusible alloy,IN_RANGE: stove-top melt feasible,500,5000,ABK foundry handles 2-5kg pours; industry higher,"[{""element"": ""Bi"", ""precursor"": ""Bi"", ""name"": ""bismuth metal"", ""mass_g"": 253.1, ""safety"": ""SAFE"", ""supplier"": ""low-temp alloy use""}, {""element"": ""Ca"", ""precursor"": ""Ca"", ""name"": ""calcium granules"", ""mass_g"": 121.4, ""safety"": ""MODERATE"", ""supplier"": ""reacts with water""}, {""element"": ""Pb"", ""precursor"": ""Pb"", ""name"": ""lead metal"", ""mass_g"": 125.5, ""safety"": ""DANGEROUS"", ""supplier"": ""toxic; historical solder alloys""}]","{""melt_c_range_cu"": [971, 1100], ""melt_c_range_al"": [660, 800], ""pour_c"": ""liquidus + 100°C"", ""why"": ""lost-wax or sand casting""}",14.92,HIGH,common composition + well-established family template,[],Ca: MODERATE — reacts with water; Pb: DANGEROUS — toxic; historical solder alloys,900,orthorhombic,Amm2,0.0028
Ca4La4Ru4Y2,Ca4La4Ru4Y2,"{""Ca"": 4, ""La"": 4, ""Ru"": 4, ""Y"": 2}",metal_pm_only,"metallic composition, PM approach",,,UNKNOWN,200,500,die press size; larger compacts crack,"[{""element"": ""Ca"", ""precursor"": ""Ca"", ""name"": ""calcium granules"", ""mass_g"": 24.8, ""safety"": ""MODERATE"", ""supplier"": ""reacts with water""}, {""element"": ""La"", ""precursor"": ""La"", ""name"": ""lanthanum metal"", ""mass_g"": 85.9, ""safety"": ""MODERATE"", ""supplier"": """"}, {""element"": ""Y"", ""precursor"": ""Y"", ""name"": ""yttrium metal"", ""mass_g"": 27.5, ""safety"": ""MODERATE"", ""supplier"": """"}]","{""binder_burnout_c"": 600, ""binder_burnout_h"": 1, ""sinter_c"": 1100, ""sinter_range_c"": [1050, 1200], ""sinter_h"": 1, ""atmosphere"": ""reducing (graphite in saggar)"", ""why"": ""powder metallurgy with Fe3P liquid-phase aid""}",6.91,MEDIUM,standard template applied,no precursor data for element Ru,Ca: MODERATE — reacts with water; La: MODERATE — ; Y: MODERATE — ,1200,monoclinic,C2/c,0.0009
Cu1Ni3Y4,Cu1Ni3Y4,"{""Cu"": 1, ""Ni"": 3, ""Y"": 4}",metal_pm_only,"metallic composition, PM approach",,,UNKNOWN,200,500,die press size; larger compacts crack,"[{""element"": ""Cu"", ""precursor"": ""Cu"", ""name"": ""copper shot/powder"", ""mass_g"": 21.4, ""safety"": ""SAFE"", ""supplier"": ""metal supplier""}, {""element"": ""Ni"", ""precursor"": ""Ni"", ""name"": ""nickel shot/powder"", ""mass_g"": 59.2, ""safety"": ""DANGEROUS"", ""supplier"": ""IARC Group 1, N95""}, {""element"": ""Y"", ""precursor"": ""Y"", ""name"": ""yttrium metal"", ""mass_g"": 119.5, ""safety"": ""MODERATE"", ""supplier"": """"}]","{""binder_burnout_c"": 600, ""binder_burnout_h"": 1, ""sinter_c"": 1100, ""sinter_range_c"": [1050, 1200], ""sinter_h"": 1, ""atmosphere"": ""reducing (graphite in saggar)"", ""why"": ""powder metallurgy with Fe3P liquid-phase aid""}",9.58,MEDIUM,standard template applied,[],"Ni: DANGEROUS — IARC Group 1, N95; Y: MODERATE — ",1200,monoclinic,Pm,0.0053
Er9In2Sb4Tb1,Er9In2Sb4Tb1,"{""Er"": 9, ""In"": 2, ""Sb"": 4, ""Tb"": 1}",metal_pm_only,"metallic composition, PM approach",,,UNKNOWN,200,500,die press size; larger compacts crack,"[{""element"": ""Er"", ""precursor"": ""Er"", ""name"": ""erbium metal"", ""mass_g"": 126.4, ""safety"": ""MODERATE"", ""supplier"": ""Sigma; expensive""}, {""element"": ""In"", ""precursor"": ""In"", ""name"": ""indium metal"", ""mass_g"": 19.3, ""safety"": ""DANGEROUS"", ""supplier"": ""expensive""}, {""element"": ""Tb"", ""precursor"": ""Tb"", ""name"": ""terbium metal"", ""mass_g"": 13.4, ""safety"": ""DANGEROUS"", ""supplier"": ""EXTREME COST""}]","{""binder_burnout_c"": 600, ""binder_burnout_h"": 1, ""sinter_c"": 1100, ""sinter_range_c"": [1050, 1200], ""sinter_h"": 1, ""atmosphere"": ""reducing (graphite in saggar)"", ""why"": ""powder metallurgy with Fe3P liquid-phase aid""}",7.96,LOW,"3 rare elements, speculative composition",no precursor data for element Sb,Er: MODERATE — Sigma; expensive; In: DANGEROUS — expensive; Tb: DANGEROUS — EXTREME COST,1200,monoclinic,Pm,0.0032
Nb2O24P6V2,Nb2O24P6V2,"{""Nb"": 2, ""O"": 24, ""P"": 6, ""V"": 2}",unknown,no matching family,,,,200,500,conservative default for unknown family,"[{""element"": ""Nb"", ""precursor"": ""Nb2O5"", ""name"": ""niobium pentoxide"", ""mass_g"": 62.0, ""safety"": ""MODERATE"", ""supplier"": ""Sigma-Aldrich""}, {""element"": ""P"", ""precursor"": ""Ca3(PO4)2"", ""name"": ""tricalcium phosphate"", ""mass_g"": 217.0, ""safety"": ""SAFE"", ""supplier"": ""NEVER use P2O5 raw — violent water reaction""}, {""element"": ""V"", ""precursor"": ""V2O5"", ""name"": ""vanadium pentoxide"", ""mass_g"": 42.4, ""safety"": ""MODERATE"", ""supplier"": ""Sigma-Aldrich; toxic dust, N95""}]","{""peak_c"": null, ""why"": ""no template""}",23.15,LOW,no family matched,[],"Nb2O5: MODERATE — Sigma-Aldrich; V2O5: MODERATE — Sigma-Aldrich; toxic dust, N95",900,monoclinic,C2,
Co1Ga4Ni1Tm2,Co1Ga4Ni1Tm2,"{""Co"": 1, ""Ga"": 4, ""Ni"": 1, ""Tm"": 2}",metal_pm_only,"metallic composition, PM approach",,,UNKNOWN,200,500,die press size; larger compacts crack,"[{""element"": ""Co"", ""precursor"": ""Co"", ""name"": ""cobalt powder"", ""mass_g"": 16.0, ""safety"": ""MODERATE"", ""supplier"": ""IARC 2B, N95""}, {""element"": ""Ga"", ""precursor"": ""Ga"", ""name"": ""gallium metal"", ""mass_g"": 76.0, ""safety"": ""DANGEROUS"", ""supplier"": ""EXPENSIVE, China controlled""}, {""element"": ""Ni"", ""precursor"": ""Ni"", ""name"": ""nickel shot/powder"", ""mass_g"": 16.0, ""safety"": ""DANGEROUS"", ""supplier"": ""IARC Group 1, N95""}, {""element"": ""Tm"", ""precursor"": ""Tm"", ""name"": ""thulium metal"", ""mass_g"": 92.0, ""safety"": ""DANGEROUS"", ""supplier"": ""expensive""}]","{""binder_burnout_c"": 600, ""binder_burnout_h"": 1, ""sinter_c"": 1100, ""sinter_range_c"": [1050, 1200], ""sinter_h"": 1, ""atmosphere"": ""reducing (graphite in saggar)"", ""why"": ""powder metallurgy with Fe3P liquid-phase aid""}",10.0,MEDIUM,"4 elements, 2 rare; template applicable",[],"Co: MODERATE — IARC 2B, N95; Ga: DANGEROUS — EXPENSIVE, China controlled; Ni: DANGEROUS — IARC Group 1, N95; Tm: DANGEROUS — expensive",1100,orthorhombic,Amm2,0.0031
B4Co4Mo3W1,B4Co4Mo3W1,,excluded_refractory,"tungsten/molybdenum dominant, beyond workshop",,,,,,,,,,EXCLUDED,,,,,,,
Be8C2Co4Mo2W10,Be8C2Co4Mo2W10,,excluded_toxic,toxic element in metallic context,,,,,,,,,,EXCLUDED,,,,,,,
As1Pr18Si15Sm2,As1Pr18Si15Sm2,,excluded_toxic,toxic element in metallic context,,,,,,,,,,EXCLUDED,,,,,,,
Ag2Cd21P1Pr6,Ag2Cd21P1Pr6,,excluded_toxic,toxic element in metallic context,,,,,,,,,,EXCLUDED,,,,,,,
Er18Hg6Ni2Tm2,Er18Hg6Ni2Tm2,,excluded_toxic,toxic element in metallic context,,,,,,,,,,EXCLUDED,,,,,,,
Er2Ga3Ge1Pr4,Er2Ga3Ge1Pr4,"{""Er"": 2, ""Ga"": 3, ""Ge"": 1, ""Pr"": 4}",metal_pm_only,"metallic composition, PM approach",,,UNKNOWN,200,500,die press size; larger compacts crack,"[{""element"": ""Er"", ""precursor"": ""Er"", ""name"": ""erbium metal"", ""mass_g"": 56.7, ""safety"": ""MODERATE"", ""supplier"": ""Sigma; expensive""}, {""element"": ""Ga"", ""precursor"": ""Ga"", ""name"": ""gallium metal"", ""mass_g"": 35.5, ""safety"": ""DANGEROUS"", ""supplier"": ""EXPENSIVE, China controlled""}, {""element"": ""Ge"", ""precursor"": ""Ge"", ""name"": ""germanium metal"", ""mass_g"": 12.3, ""safety"": ""DANGEROUS"", ""supplier"": ""expensive""}, {""element"": ""Pr"", ""precursor"": ""Pr"", ""name"": ""praseodymium metal"", ""mass_g"": 95.5, ""safety"": ""MODERATE"", ""supplier"": ""expensive""}]","{""binder_burnout_c"": 600, ""binder_burnout_h"": 1, ""sinter_c"": 1100, ""sinter_range_c"": [1050, 1200], ""sinter_h"": 1, ""atmosphere"": ""reducing (graphite in saggar)"", ""why"": ""powder metallurgy with Fe3P liquid-phase aid""}",10.0,LOW,"4 rare elements, speculative composition",[],"Er: MODERATE — Sigma; expensive; Ga: DANGEROUS — EXPENSIVE, China controlled; Ge: DANGEROUS — expensive; Pr: MODERATE — expensive",1200,orthorhombic,Amm2,0.0018
Fe2P12Ru17Y5,Fe2P12Ru17Y5,"{""Fe"": 2, ""P"": 12, ""Ru"": 17, ""Y"": 5}",metal_pm_only,"metallic composition, PM approach",,,UNKNOWN,200,500,die press size; larger compacts crack,"[{""element"": ""Fe"", ""precursor"": ""Fe"", ""name"": ""iron powder -325 mesh"", ""mass_g"": 8.5, ""safety"": ""MODERATE"", ""supplier"": ""metal supplier; dust N95""}, {""element"": ""P"", ""precursor"": ""Fe3P"", ""name"": ""ferrophosphorus (liquid-phase sintering aid)"", ""mass_g"": 181.3, ""safety"": ""SAFE"", ""supplier"": ""never use elemental P — flammable""}, {""element"": ""Y"", ""precursor"": ""Y"", ""name"": ""yttrium metal"", ""mass_g"": 33.8, ""safety"": ""MODERATE"", ""supplier"": """"}]","{""binder_burnout_c"": 600, ""binder_burnout_h"": 1, ""sinter_c"": 1100, ""sinter_range_c"": [1050, 1200], ""sinter_h"": 1, ""atmosphere"": ""reducing (graphite in saggar)"", ""why"": ""powder metallurgy with Fe3P liquid-phase aid""}",3.59,MEDIUM,standard template applied,no precursor data for element Ru,Fe: MODERATE — metal supplier; dust N95; Y: MODERATE — ,1200,orthorhombic,Amm2,0.0194
As1Er20Si15,As1Er20Si15,,excluded_toxic,toxic element in metallic context,,,,,,,,,,EXCLUDED,,,,,,,
Er12Fe2Hg6Y8,Er12Fe2Hg6Y8,,excluded_toxic,toxic element in metallic context,,,,,,,,,,EXCLUDED,,,,,,,
Er12Pb16Sm7Tb1,Er12Pb16Sm7Tb1,"{""Er"": 12, ""Pb"": 16, ""Sm"": 7, ""Tb"": 1}",metal_pm_only,"metallic composition, PM approach",,,UNKNOWN,200,500,die press size; larger compacts crack,"[{""element"": ""Er"", ""precursor"": ""Er"", ""name"": ""erbium metal"", ""mass_g"": 61.4, ""safety"": ""MODERATE"", ""supplier"": ""Sigma; expensive""}, {""element"": ""Pb"", ""precursor"": ""Pb"", ""name"": ""lead metal"", ""mass_g"": 101.5, ""safety"": ""DANGEROUS"", ""supplier"": ""toxic; historical solder alloys""}, {""element"": ""Sm"", ""precursor"": ""Sm"", ""name"": ""samarium metal"", ""mass_g"": 32.2, ""safety"": ""DANGEROUS"", ""supplier"": ""expensive""}, {""element"": ""Tb"", ""precursor"": ""Tb"", ""name"": ""terbium metal"", ""mass_g"": 4.9, ""safety"": ""DANGEROUS"", ""supplier"": ""EXTREME COST""}]","{""binder_burnout_c"": 600, ""binder_burnout_h"": 1, ""sinter_c"": 1100, ""sinter_range_c"": [1050, 1200], ""sinter_h"": 1, ""atmosphere"": ""reducing (graphite in saggar)"", ""why"": ""powder metallurgy with Fe3P liquid-phase aid""}",5.94,LOW,"3 rare elements, speculative composition",[],Er: MODERATE — Sigma; expensive; Pb: DANGEROUS — toxic; historical solder alloys; Sm: DANGEROUS — expensive; Tb: DANGEROUS — EXTREME COST,1200,triclinic,P1,inf
Er5Ni4Tb3Tm4,Er5Ni4Tb3Tm4,"{""Er"": 5, ""Ni"": 4, ""Tb"": 3, ""Tm"": 4}",metal_pm_only,"metallic composition, PM approach",,,UNKNOWN,200,500,die press size; larger compacts crack,"[{""element"": ""Er"", ""precursor"": ""Er"", ""name"": ""erbium metal"", ""mass_g"": 75.2, ""safety"": ""MODERATE"", ""supplier"": ""Sigma; expensive""}, {""element"": ""Ni"", ""precursor"": ""Ni"", ""name"": ""nickel shot/powder"", ""mass_g"": 21.1, ""safety"": ""DANGEROUS"", ""supplier"": ""IARC Group 1, N95""}, {""element"": ""Tb"", ""precursor"": ""Tb"", ""name"": ""terbium metal"", ""mass_g"": 42.9, ""safety"": ""DANGEROUS"", ""supplier"": ""EXTREME COST""}, {""element"": ""Tm"", ""precursor"": ""Tm"", ""name"": ""thulium metal"", ""mass_g"": 60.8, ""safety"": ""DANGEROUS"", ""supplier"": ""expensive""}]","{""binder_burnout_c"": 600, ""binder_burnout_h"": 1, ""sinter_c"": 1100, ""sinter_range_c"": [1050, 1200], ""sinter_h"": 1, ""atmosphere"": ""reducing (graphite in saggar)"", ""why"": ""powder metallurgy with Fe3P liquid-phase aid""}",10.0,LOW,"3 rare elements, speculative composition",[],"Er: MODERATE — Sigma; expensive; Ni: DANGEROUS — IARC Group 1, N95; Tb: DANGEROUS — EXTREME COST; Tm: DANGEROUS — expensive",1200,triclinic,P1,0.0034
Eu2In1O1Pr1,Eu2In1O1Pr1,"{""Eu"": 2, ""In"": 1, ""O"": 1, ""Pr"": 1}",rare_earth_oxide,rare-earth-containing oxide ceramic,,,,100,300,rare-earth cost; keep batches small,"[{""element"": ""Eu"", ""precursor"": ""Eu2O3"", ""name"": ""europium oxide"", ""mass_g"": 61.1, ""safety"": ""MODERATE"", ""supplier"": ""Sigma-Aldrich; expensive""}, {""element"": ""In"", ""precursor"": ""In2O3"", ""name"": ""indium oxide"", ""mass_g"": 24.1, ""safety"": ""DANGEROUS"", ""supplier"": ""EXPENSIVE""}, {""element"": ""Pr"", ""precursor"": ""Pr6O11"", ""name"": ""praseodymium oxide"", ""mass_g"": 29.6, ""safety"": ""MODERATE"", ""supplier"": ""Sigma-Aldrich""}]","{""calcine_c"": 900, ""calcine_h"": 2, ""sinter_c"": 1200, ""sinter_range_c"": [1100, 1300], ""sinter_h"": 4, ""ramp"": ""3°C/min""}",139.64,LOW,"3 rare elements, speculative composition",[],Eu2O3: MODERATE — Sigma-Aldrich; expensive; In2O3: DANGEROUS — EXPENSIVE; Pr6O11: MODERATE — Sigma-Aldrich,900,tetragonal,P4/mmm,0.0077
Mo12Si16Sr1Tm7,Mo12Si16Sr1Tm7,,excluded_refractory,"tungsten/molybdenum dominant, beyond workshop",,,,,,,,,,EXCLUDED,,,,,,,
Al1Li3Pr3Sb2,Al1Li3Pr3Sb2,"{""Al"": 1, ""Li"": 3, ""Pr"": 3, ""Sb"": 2}",metal_pm_only,"metallic composition, PM approach",,,UNKNOWN,200,500,die press size; larger compacts crack,"[{""element"": ""Al"", ""precursor"": ""Al"", ""name"": ""aluminum powder"", ""mass_g"": 7.6, ""safety"": ""MODERATE"", ""supplier"": ""dust explosion hazard, no open flame""}, {""element"": ""Li"", ""precursor"": ""Li2CO3"", ""name"": ""lithium carbonate (NEVER elemental Li)"", ""mass_g"": 31.0, ""safety"": ""SAFE"", ""supplier"": ""laborladen; NEVER use Li metal""}, {""element"": ""Pr"", ""precursor"": ""Pr"", ""name"": ""praseodymium metal"", ""mass_g"": 118.4, ""safety"": ""MODERATE"", ""supplier"": ""expensive""}]","{""binder_burnout_c"": 600, ""binder_burnout_h"": 1, ""sinter_c"": 1100, ""sinter_range_c"": [1050, 1200], ""sinter_h"": 1, ""atmosphere"": ""reducing (graphite in saggar)"", ""why"": ""powder metallurgy with Fe3P liquid-phase aid""}",8.77,MEDIUM,"4 elements, 1 rare; template applicable",no precursor data for element Sb,"Al: MODERATE — dust explosion hazard, no open flame; Pr: MODERATE — expensive",800,hexagonal,P-62m,
Ca6Li16Pb8,Ca6Li16Pb8,"{""Ca"": 6, ""Li"": 16, ""Pb"": 8}",metal_meltable,low-melting Sn/Bi/Pb alloy,low_melt_fusible,RotoMetals fusible alloy,IN_RANGE: stove-top melt feasible,500,5000,ABK foundry handles 2-5kg pours; industry higher,"[{""element"": ""Ca"", ""precursor"": ""Ca"", ""name"": ""calcium granules"", ""mass_g"": 59.8, ""safety"": ""MODERATE"", ""supplier"": ""reacts with water""}, {""element"": ""Li"", ""precursor"": ""Li2CO3"", ""name"": ""lithium carbonate (NEVER elemental Li)"", ""mass_g"": 147.1, ""safety"": ""SAFE"", ""supplier"": ""laborladen; NEVER use Li metal""}, {""element"": ""Pb"", ""precursor"": ""Pb"", ""name"": ""lead metal"", ""mass_g"": 412.5, ""safety"": ""DANGEROUS"", ""supplier"": ""toxic; historical solder alloys""}]","{""melt_c_range_cu"": [971, 1100], ""melt_c_range_al"": [660, 800], ""pour_c"": ""liquidus + 100°C"", ""why"": ""lost-wax or sand casting""}",20.35,HIGH,common composition + well-established family template,[],Ca: MODERATE — reacts with water; Pb: DANGEROUS — toxic; historical solder alloys,800,cubic,Fm-3m,
B4Mn1Nb5Ru9Ti1,B4Mn1Nb5Ru9Ti1,"{""B"": 4, ""Mn"": 1, ""Nb"": 5, ""Ru"": 9, ""Ti"": 1}",metal_pm_only,"metallic composition, PM approach",,,UNKNOWN,200,500,die press size; larger compacts crack,"[{""element"": ""B"", ""precursor"": ""B"", ""name"": ""boron powder"", ""mass_g"": 5.7, ""safety"": ""SAFE"", ""supplier"": """"}, {""element"": ""Mn"", ""precursor"": ""Mn"", ""name"": ""manganese flakes"", ""mass_g"": 7.3, ""safety"": ""MODERATE"", ""supplier"": ""neurotoxic dust, N95""}, {""element"": ""Ti"", ""precursor"": ""Ti"", ""name"": ""titanium powder"", ""mass_g"": 6.3, ""safety"": ""MODERATE"", ""supplier"": ""dust flammable""}]","{""binder_burnout_c"": 600, ""binder_burnout_h"": 1, ""sinter_c"": 1100, ""sinter_range_c"": [1050, 1200], ""sinter_h"": 1, ""atmosphere"": ""reducing (graphite in saggar)"", ""why"": ""powder metallurgy with Fe3P liquid-phase aid""}",0.97,MEDIUM,"5 elements, 0 rare; template applicable",no precursor data for element Nb; no precursor data for element Ru,"Mn: MODERATE — neurotoxic dust, N95; Ti: MODERATE — dust flammable",1500,monoclinic,P2/m,0.0006
Co16Sc4Si12V4,Co16Sc4Si12V4,"{""Co"": 16, ""Sc"": 4, ""Si"": 12, ""V"": 4}",metal_pm_only,"Fe/Ni/Co-dominant, needs PM sintering (mp > kiln)",,,UNKNOWN,200,500,die press size; larger compacts crack,"[{""element"": ""Co"", ""precursor"": ""Co"", ""name"": ""cobalt powder"", ""mass_g"": 113.4, ""safety"": ""MODERATE"", ""supplier"": ""IARC 2B, N95""}, {""element"": ""Sc"", ""precursor"": ""Sc"", ""name"": ""scandium metal"", ""mass_g"": 21.6, ""safety"": ""DANGEROUS"", ""supplier"": ""extremely expensive""}, {""element"": ""Si"", ""precursor"": ""Si"", ""name"": ""silicon granules"", ""mass_g"": 40.5, ""safety"": ""SAFE"", ""supplier"": ""metal supplier""}]","{""binder_burnout_c"": 600, ""binder_burnout_h"": 1, ""sinter_c"": 1100, ""sinter_range_c"": [1050, 1200], ""sinter_h"": 1, ""atmosphere"": ""reducing (graphite in saggar)"", ""why"": ""powder metallurgy with Fe3P liquid-phase aid""}",7.56,MEDIUM,"4 elements, 1 rare; template applicable",no precursor data for element V,"Co: MODERATE — IARC 2B, N95; Sc: DANGEROUS — extremely expensive",1300,orthorhombic,Pnma,0.0021
As6Co16Nb2P6Zr6,As6Co16Nb2P6Zr6,,excluded_toxic,toxic element in metallic context,,,,,,,,,,EXCLUDED,,,,,,,
O42S12Sn2Tl4,O42S12Sn2Tl4,"{""O"": 42, ""S"": 12, ""Sn"": 2, ""Tl"": 4}",heavy_oxide_ceramic,heavy-element oxide ceramic,,,,200,500,WO3 volatility; dense ceramic heavy at scale,"[{""element"": ""Sn"", ""precursor"": ""SnO2"", ""name"": ""tin(IV) oxide"", ""mass_g"": 35.6, ""safety"": ""SAFE"", ""supplier"": ""Kremer""}]","{""calcine_c"": 900, ""calcine_h"": 4, ""sinter_c"": 1250, ""sinter_range_c"": [1100, 1400], ""sinter_h"": 4, ""ramp_to_sinter"": ""3°C/min"", ""cool_rate"": ""3°C/min"", ""moo3_saggar_note"": ""MoO3 sublimes from ~650°C (vapor pressure significant); near-complete loss by 800°C. Closed alumina saggar with fiber gasket MANDATORY above 600°C."", ""wo3_saggar_note"": ""WO3 measurable vapor at 900°C; significant mass loss above 1000°C. Saggar recommended."", ""bi2o3_flux_opportunity"": ""Bi2O3 melts at 825°C and acts as powerful liquid-phase sintering aid. 1-5 wt% Bi2O3 lowers ZrO2 sintering from 1400-1500°C to ~900°C — enables heavy oxide ceramics in standard ABK kiln."", ""zro2_transformation_hazard"": ""ZrO2 monoclinic↔tetragonal transformation at ~1170°C causes 3.5% volume change. Pure ZrO2 cracks on cooling — must be stabilized (3 mol% Y2O3) OR use Bi2O3 liquid-phase sintering route below 1170°C."", ""why"": ""heavy-element oxides need longer holds; volatility-critical species (Mo, W, Bi) require saggar above 650°C""}",1.07,EXCLUDED,no precursor data for element S; Tl: EXCLUDED — EXCLUDE — extreme toxicity,no precursor data for element S; Tl: EXCLUDED — EXCLUDE — extreme toxicity; contains EXCLUDED element; recipe not fully realizable,[],600,trigonal,P-3,
B16Ge2Si2Tm2Y8,B16Ge2Si2Tm2Y8,"{""B"": 16, ""Ge"": 2, ""Si"": 2, ""Tm"": 2, ""Y"": 8}",metal_pm_only,"metallic composition, PM approach",,,UNKNOWN,200,500,die press size; larger compacts crack,"[{""element"": ""B"", ""precursor"": ""B"", ""name"": ""boron powder"", ""mass_g"": 24.3, ""safety"": ""SAFE"", ""supplier"": """"}, {""element"": ""Ge"", ""precursor"": ""Ge"", ""name"": ""germanium metal"", ""mass_g"": 20.4, ""safety"": ""DANGEROUS"", ""supplier"": ""expensive""}, {""element"": ""Si"", ""precursor"": ""Si"", ""name"": ""silicon granules"", ""mass_g"": 7.9, ""safety"": ""SAFE"", ""supplier"": ""metal supplier""}, {""element"": ""Tm"", ""precursor"": ""Tm"", ""name"": ""thulium metal"", ""mass_g"": 47.5, ""safety"": ""DANGEROUS"", ""supplier"": ""expensive""}, {""element"": ""Y"", ""precursor"": ""Y"", ""name"": ""yttrium metal"", ""mass_g"": 99.9, ""safety"": ""MODERATE"", ""supplier"": """"}]","{""binder_burnout_c"": 600, ""binder_burnout_h"": 1, ""sinter_c"": 1100, ""sinter_range_c"": [1050, 1200], ""sinter_h"": 1, ""atmosphere"": ""reducing (graphite in saggar)"", ""why"": ""powder metallurgy with Fe3P liquid-phase aid""}",10.98,MEDIUM,"5 elements, 2 rare; template applicable",[],Ge: DANGEROUS — expensive; Tm: DANGEROUS — expensive; Y: MODERATE — ,1200,orthorhombic,Cmmm,0.0047
